condition,domain,execution_family,final_endpoint_class,final_source,global_sequence_index,hard_contract_vector,model_slot_id,original_technical_class,paper_id,private_score,result_source_sha256,task_id,terminal_outcome,variant_id
F,data_analysis,primary,complete_submission_private_contract_failure,response_format_successor,193,"[true,false]",deepseek_primary,response_format,data_leiden,0.3125,6e1337d967b6cdcdc04f911e5db33f8ef9e9970055d66552380ed2e616874c0c,DATA-LEI-01,hard_contract_failure,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,response_format_successor,194,"[true,false]",deepseek_primary,exact_output_contract,data_leiden,0.125,29d081ffce23a70f35483a0a3ef127e1c3e6dbd8ed035389dffc0124c66d45da,DATA-LEI-01,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,operational_success,response_format_successor,195,"[true,true]",deepseek_primary,response_format,data_leiden,1.0,6e4c02081ae044e02d500ae154748ae1f1e3972e5eaacfe62895f6644587da0e,DATA-LEI-01,operational_success,primary_dag_ratio_60_v1
S,data_analysis,primary,complete_submission_private_contract_failure,response_format_successor,196,"[true,false]",deepseek_primary,response_format,data_leiden,0.3125,db10f8b27efedbf336429f0d7c431546cff2e910b3a3db731deaad37b8a05536,DATA-LEI-01,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,operational_success,fg5_exact_output_direct,197,"[true,true]",deepseek_primary,exact_output_contract,data_leiden,1.0,aa0f8df6faaf4f75cc8f6cde4fd01e553a181dd8203f32d7f0e8cf68b0aeacd8,DATA-LEI-01,operational_success,primary_dag_ratio_60_v1
B,data_analysis,primary,submission_or_case_coverage_failure,response_format_successor,198,"[false,false]",deepseek_primary,exact_output_contract,data_leiden,0.0,7e88321db3e36fc0afb012172bf491a5ee63b56dc4b5ee2314196e37b1f5a5d7,DATA-LEI-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,199,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.03125,ba3d7d7cbc3ef37793a129acb2d690d6c11f398b9a6b68cec6244d14e2f59e5a,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,submission_or_case_coverage_failure,fg3_retained,200,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,agent_reflexion,0.0,7e0d5367dc8d8919df494e6c32406bee903bc3252374526200c93313aef97af8,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,operational_success,response_format_successor,201,"[true,true]",deepseek_primary,response_format,agent_reflexion,1.0,e5405e5d274861b10e95222ddb835fd315a8456f63f5bf09a8929bc29bb9ec36,AGENT-RF-01,operational_success,primary_dag_ratio_60_v1
F,agent_tool_use,primary,submission_or_case_coverage_failure,fg3_retained,202,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,agent_reflexion,0.0,9698837e9542d2d85d4af9dec4a384e776c99262700bca27a354072d8c9cf649,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,203,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.578125,9064585bc74ae560e842d8972115465de867a6b43ec17f99490096b7fab9b36c,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,204,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,00dc5d77ab25faf3ec8ce75ab048fe8ef5d5f8b48a1b6866055a749c32e9f93a,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,205,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,dccd7ef40b9285aa64ffec1978759c33d224add6431025a43ecdef87ade43d41,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,206,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.296875,41210ab0592ae9d204f2c2345e91da23823cbad47cab53f71d02979d2e26cb1b,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,response_format_successor,207,"[true,false]",deepseek_primary,response_format,agent_reflexion,0.578125,bc9b48bc2cb31645d45d88cfbe5f45a53772f4c5ec7cb1c48911959132bf466a,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,208,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,31d741bb4ca4f0500108e729ac7bb9626a6ec0b75e8c1b487789cbaaea731469,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,209,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.578125,0c98f332c6e48d262ffd4d82fa4ef3ce9a350de9d437f75ca8114dc3a109624d,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,210,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,122f486123b7bc917dfd4c8002f283e6ce974d4145c26ee4773ab5a3af36e605,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,211,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.578125,f95bb3c8c0df598ff8f48f00b1bc707d33fd0cfa7fb299a1d7aeabfe8be05321,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,212,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.25,a9650323260c40b09a180a6bbf9456d3c658004dccad1beea6be656bad416ee7,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,213,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.578125,d34964a6dbf2a6167fb581ef0d4d7eb0b772b8bb750012fb3e0da1a0c8d23e01,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,operational_success,fg5_exact_output_direct,214,"[true,true]",deepseek_primary,exact_output_contract,agent_reflexion,1.0,b4d47fa21496e994ec3ceefe6d615707abf00a466f8d553c522285f5efa257b1,AGENT-RF-01,operational_success,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,response_format_successor,215,"[true,false]",deepseek_primary,response_format,agent_reflexion,0.125,482b842ed4041d4f9221d720f8da6709315c78e3c34b98c5e2b4291d22ac9b7b,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,216,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,17f98f30a9bee31fd87f113126c32547f053404dde09fa54ba9dde81e8c923fb,AGENT-RF-01,hard_contract_failure,primary_dag_ratio_60_v1
B,nlp,primary,submission_or_case_coverage_failure,fg3_retained,217,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,nlp_llmlingua2,0.0,136e1620f134da901117ad6fd2697efbcaa828007cb63c0a072d5e1600272a15,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,payload_interface_successor,218,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua2,1.0,bb7cbdd2bab08773e3873ab7a74cf7b7291ed7d049f727c5b435ea7f3c70f9ed,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,219,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua2,1.0,2100adb001cbdb9c743f63b52553c3361df6d397d4536cc67eb1029f59beaa19,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,submission_or_case_coverage_failure,fg3_retained,220,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,nlp_llmlingua2,0.0,83058fbe614a070336d1a6c431c0adefbed4d1ec8bcdb32db0cb28e47175614c,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,221,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua2,1.0,1a3cdff6bba3fdc064b549cef1018ab804a0b4d93d971d3ca35506d9f4863f3e,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,payload_interface_successor,222,"[true,false]",deepseek_primary,payload_input_interface,nlp_llmlingua2,0.84375,fe6d7e46da9822a34b6102a2d99485095828658bc8ef8147c85d06f6e5ca0783,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,fg5_exact_output_direct,223,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua2,1.0,32ed860f4a5c6fd977756b9c7e6cc91353fa6807f852a833090c3a6fec7590ac,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,response_format_successor,224,"[true,false]",deepseek_primary,response_format,nlp_llmlingua2,0.84375,047739f2c798bdf6901978e788c8bfe5c48ab3baee3a5a2e70ef9ba2b4d8f89b,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,fg5_exact_output_direct,225,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua2,1.0,3882c353284ac1d7972e53b24497443abd1d45a0b3c9e9a8e2241d3250ec5335,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,226,"[true,false]",deepseek_primary,exact_output_contract,nlp_llmlingua2,0.5,3af94bfa8a36c8734738b18bc859e7c0955e257f11f38af62def5f08cf36b84c,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,227,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua2,1.0,65c69cad4d2d7591292d0336484824be93c3a173a4e46f0907faebcdc7058828,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,submission_or_case_coverage_failure,fg3_retained,228,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,nlp_llmlingua2,0.0,a2340130eae22f669cb72795e7ccfc88f56d74863bfeff0d4121bf50d4eb80d0,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,payload_interface_successor,229,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua2,1.0,be6f725f3cb243095ee4339a8be8c84ffddf90509f4aff5159fabe6e079ef2d6,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,payload_interface_successor,230,"[true,false]",deepseek_primary,payload_input_interface,nlp_llmlingua2,0.90625,d6687350fbf92bd79672f2c8d90032e259965c8388b355ca66c41d139b5295e5,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,231,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua2,1.0,f6133cda86ae07f9d131887ff61286dccda4f5bab0c4b37d799b808226836ab6,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
S,nlp,primary,submission_or_case_coverage_failure,fg5_exact_output_direct,232,"[false,false]",deepseek_primary,exact_output_contract,nlp_llmlingua2,0.0,23b11aa46131fa72104faaf46788f72055aa1ac07b251b81e445c2ed4fdf3ee2,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,fg5_exact_output_direct,233,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua2,1.0,4a79b03e49400d624896f83e32dcd24c34b2ae97d7f481522665bf01a2650d93,NLP-LL2-02,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,234,"[true,false]",deepseek_primary,exact_output_contract,nlp_llmlingua2,0.90625,c4f7bfc0727acddfc4101f1979e4b928f8890bf5697c5c606a58608e9553ac4b,NLP-LL2-02,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,235,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.0,baff527330c1b5656ffeb1b312f197de980bd1f598f100683d256fde07241841,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,complete_submission_private_contract_failure,response_format_successor,236,"[true,false]",deepseek_primary,response_format,se_creduce,0.046875,f2816e5f64530512a8819bc811ffd37ace55b94dc55f1a3c000761d2a6552e5d,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,237,"[true,false]",deepseek_primary,exact_output_contract,se_creduce,0.0,971b9dedc3f6d9907e6a57de7d3db1d5c513ba98f3d41c7ad3a00e9cea499569,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,238,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.40625,00da893f49809f7634bf126dfb3d864f2bc7f8769199d3e71c651353ce9950a2,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,complete_submission_private_contract_failure,fg3_retained,239,"[true,false]",deepseek_primary,experimental_outcome_not_technical_error,se_creduce,0.0,32257e2e35aabb78ae5162143f1262a4a1828c04f9119ce59668dffc8b876117,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,240,"[true,false]",deepseek_primary,exact_output_contract,se_creduce,0.015625,8fc2d8ce9f3a5c214f65a4e8fcd8b218b6274de5c33f4af88bd7cca993975194,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,241,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.0,e5fc48b15b1bf913c4d46939343e550e8cf43a9238973f027d2a8e33f822fccc,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,242,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.015625,e4c4332d70152a5e360a1b30d9bc5744871c1f395042533f10a943f9f20a0b44,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,243,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_creduce,0.0,857bd6959bac6101614d6d0eec028f308a6283ee3a5531f3de21665f841f4852,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,244,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.0,2555f6b42919952872cad4373bc3c3d97034af472f734b0414646dc2af50ae04,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,complete_submission_private_contract_failure,fg3_retained,245,"[true,false]",deepseek_primary,experimental_outcome_not_technical_error,se_creduce,0.0,3ec625769054ea535c77c2b9b285bc4cff6cef104c95427e6ba704fe0b62c850,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,246,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_creduce,0.0,0d8ceeee6867667c8eccba65ad7232bfada37ef174aec4a32ac13ebc6e68e213,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,complete_submission_private_contract_failure,response_format_successor,247,"[true,false]",deepseek_primary,response_format,se_creduce,0.078125,2cd4246d5b09e8d8421ab4962f8da2f22ab1ae74ec68bbc8f407887dc6ab6a6e,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,248,"[true,false]",deepseek_primary,exact_output_contract,se_creduce,0.03125,c07f82eddd64133587dfd4be4f5608ad860383e50081c48ba134681eb1cab4fd,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,249,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.0,dd6c394ca8b6810045c54f2cdd31a11078b2e9c0ce520288e5fe546d71246e02,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,250,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.0,5b7986a50c1085cab261d7080de7d525638d445f6fc16a1d3cccfb7a0ee0c312,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,251,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.0,fab36e030144d4aeffef70929b374b2c699c8bfe79e28d4bdfa3e556f636e5d9,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,252,"[true,false]",deepseek_primary,payload_input_interface,se_creduce,0.03125,f73f19f3b2dccea35fce10dce74a707007bb66537722e6cad7f27e50a8d7c176,SE-CR-02,hard_contract_failure,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,253,"[true,false]",deepseek_primary,exact_output_contract,data_leiden,0.0,1845f851b1afae479043563ee07bd17070ddcc1b167d39804c355102f3f04819,DATA-LEI-02,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,operational_success,fg5_exact_output_direct,254,"[true,true]",deepseek_primary,exact_output_contract,data_leiden,1.0,812a2cd44c85eff4be4529f87cfa1c50d7b524cc1e63c40daf2eecb1d45a47a6,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
S,data_analysis,primary,operational_success,fg5_exact_output_direct,255,"[true,true]",deepseek_primary,exact_output_contract,data_leiden,1.0,80989df3a1e7684bf7b14312ce26e1bfd7393ee7b291a38d045f3e0dfe84a1de,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
F,data_analysis,primary,operational_success,payload_interface_successor,256,"[true,true]",deepseek_primary,payload_input_interface,data_leiden,1.0,479fd7df7613b1ab3480b935944accc8aa0ebd5573dbbe083946b519eb0716de,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
S,data_analysis,primary,operational_success,payload_interface_successor,257,"[true,true]",deepseek_primary,payload_input_interface,data_leiden,1.0,9f80be8d397a8e63fd54eb4dfff1e13696214461d8f22fae66e668e2a9daadaf,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,258,"[true,false]",deepseek_primary,exact_output_contract,data_leiden,0.0,69671b744ed23da847d70d7f51e380c1cf2cd490fe56ef36c3f938e9b360abd0,DATA-LEI-02,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,operational_success,fg5_exact_output_direct,259,"[true,true]",deepseek_primary,exact_output_contract,data_leiden,1.0,3c22b4f8c3172a074d022f623426a87304bce4a0c0229e372750c5afc964768b,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,260,"[true,false]",deepseek_primary,exact_output_contract,data_leiden,0.0,4df9fe5a7ee950e342f9e174937679259b17cab711b329b687a845a9579d76eb,DATA-LEI-02,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,operational_success,fg5_exact_output_direct,261,"[true,true]",deepseek_primary,exact_output_contract,data_leiden,1.0,a7aaa9e1b3d18aaf2e9ea959268f37cdd72643b50698079213722334f86a4a0d,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,262,"[true,false]",deepseek_primary,exact_output_contract,data_leiden,0.0,d675a1f71cfb782be0ed9663d119a126a287a219c5220a2a01f121e5b958ddff,DATA-LEI-02,hard_contract_failure,primary_dag_ratio_60_v1
S,data_analysis,primary,operational_success,payload_interface_successor,263,"[true,true]",deepseek_primary,payload_input_interface,data_leiden,1.0,ac71c391c9d23484042eed43c9507fda284cc6ba397be6a1f022e7ada81690f0,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
F,data_analysis,primary,submission_or_case_coverage_failure,fg3_retained,264,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,data_leiden,0.0,704572b64e7d5b8ba2c481c2612c407f65dd384a8cf80ec3cee9e305d08e1e11,DATA-LEI-02,hard_contract_failure,primary_dag_ratio_60_v1
F,data_analysis,primary,operational_success,payload_interface_successor,265,"[true,true]",deepseek_primary,payload_input_interface,data_leiden,1.0,04d5ade2397c0e0d1f7875a81c79c9f60d58d476dcaaa84b5e41dfc60439df6b,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
B,data_analysis,primary,operational_success,fg5_exact_output_direct,266,"[true,true]",deepseek_primary,exact_output_contract,data_leiden,1.0,287a8a32a77c7f5fd0e200eb06c78b793a327fee8ec317520fe0bdb18bd70be9,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
S,data_analysis,primary,operational_success,payload_interface_successor,267,"[true,true]",deepseek_primary,payload_input_interface,data_leiden,1.0,fb874220478de6bb0847e1491f9e179b9286d8939dfb207dfc0e8d1489110dc5,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
S,data_analysis,primary,operational_success,fg5_exact_output_direct,268,"[true,true]",deepseek_primary,exact_output_contract,data_leiden,1.0,3d4c34391ad391ae140a3af32f3a13ef1dbf7fd3e43ec4e4eee35908d1911ee8,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
F,data_analysis,primary,operational_success,payload_interface_successor,269,"[true,true]",deepseek_primary,payload_input_interface,data_leiden,1.0,76983034a458235beb7bc2b2a8a6597646577845c8e206847cbd63634286b9ed,DATA-LEI-02,operational_success,primary_dag_ratio_60_v1
B,data_analysis,primary,complete_submission_private_contract_failure,payload_interface_successor,270,"[true,false]",deepseek_primary,payload_input_interface,data_leiden,0.0,325b7e97f009dddfa633533472cbd63daa58e20d127ded6a25bb4e998f85822b,DATA-LEI-02,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,271,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,d710c8a420cff0cdb655396e8e27d3991b5a482f6cbcb339147b1f8c997baf3d,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,272,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,edd4bc813f7ca5666cc93e74b59069d18cf35c1cfb58979ab55714b030509407,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,273,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,4d0f247c00af55939a6ac3af77e876b0f2904ae41e566024bc8f844b2682e065,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,274,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,c4010cf7c07e9c899b889167de2c04a0b497db9044fc3956e6f1180d667acd85,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,275,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,d50036b38dfeb3a4a31bbd607a816cbe5903eb10958e2f2fd65fd987b729a286,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,276,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,db8d2e1474ac9d9c1c28f376feeffed6c2d263c8249a9286c3952e2e9c1e108a,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,277,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,976255b3eb76cc0364ef87f21be520d6d40a2f45685e26821a3e8d5bd810fda3,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,278,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,2cdf556955ccb6b14e1c085160658eb7d880f082a94d7e972cbd75db1bcb8c8a,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,279,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.59375,f142ae001d8f25026e9eca02e784f9d0341c67725209ae1b240f2805167603f5,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,280,"[true,false]",deepseek_primary,exact_output_contract,agent_reflexion,0.0,dcba8815639688109cc028dac408a6f8d81b58af8f85d2689a8cc8eb1779aad1,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,281,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,0b2f97dd33bb73e8420046b522232b83621b6d4a48d5a38b5d606e5f3bb1579c,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,submission_or_case_coverage_failure,fg3_retained,282,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,agent_reflexion,0.0,0f153ba5806cbb495e63948e70740b1009257c5558ab15da8fc9e956aa1cfc65,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,complete_submission_private_contract_failure,response_format_successor,283,"[true,false]",deepseek_primary,response_format,agent_reflexion,0.0,de4f44be07a3764aa960af043bb33a5daf8cc570d13a4c8578e39ca81a00af68,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
B,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,284,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,169feefecb1b58e2e889b00b04dd538513d50a45f50bebbb09af6cfa0e630054,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,285,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,69cc6bbc95c632becc8d78f4c4ed9afaf64d5e0dbca0f047257625cc4b613af2,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
S,agent_tool_use,primary,complete_submission_private_contract_failure,payload_interface_successor,286,"[true,false]",deepseek_primary,payload_input_interface,agent_reflexion,0.0,ba22a6ffd69d4b5b8b1406fcb54012393a5e9a8cd9115f786e166dab1a56cc0a,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
F,agent_tool_use,primary,submission_or_case_coverage_failure,fg3_retained,287,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,agent_reflexion,0.0,a0da04f730d27cc2c3580f6adb57364cdafcde2d5fcd3e6f3f029a2c420f734e,AGENT-RF-02,hard_contract_failure,primary_dag_ratio_60_v1
